date,GBX,USD
2015-06-02,203.63,3.0961544715702605
2015-06-03,202.28,3.1072497873198053
2015-06-04,200.41,3.071635833368639
2015-06-05,199.71,3.0674001333968555
2015-06-08,199.79,3.050013581480469
2015-06-09,198.16,3.0430436345375087
2015-06-10,196.49,3.024331930197915
2015-06-11,199.24,3.0872028119135226
2015-06-12,198.85,3.0877327881727394
2015-06-15,197.09,3.0644324219992787
2015-06-16,194.33,3.03353614697437
2015-06-17,193.95,3.033995788667687
2015-06-18,193.01,3.0576620213292056
2015-06-19,195.82,3.1108300391179116
2015-06-22,196.2,3.1150755571857003
2015-06-23,197.82,3.123978498868305
2015-06-24,197.33,3.104880988327096
2015-06-25,196.55,3.083658512948155
2015-06-26,195.83,3.0817715086279818
2015-06-29,195.04,3.0630117428872494
2015-06-30,192.14,3.022994187921039
2015-07-01,191.48,3.0058008320013547
2015-07-02,192.74,3.0075233085847355
2015-07-03,192.2,3.0010547053760734
2015-07-06,192.24,2.991525095220608
2015-07-07,192.62,3.0032619838872106
2015-07-08,194.69,3.0061067457081325
2015-07-09,194.29,2.9847110349375137
2015-07-10,195.01,3.0006888650650043
2015-07-13,196.21,3.040742551286912
2015-07-14,198.08,3.0678271555088403
2015-07-15,197.83,3.0959940316011023
2015-07-16,198.49,3.1018055422887634
2015-07-17,200.5,3.132806016329149
2015-07-20,201.1,3.135362938810776
2015-07-21,201.8,3.1399190817908362
2015-07-22,199.98,3.1108757351346323
2015-07-23,200.12,3.1252844508670523
2015-07-24,200.37,3.108061090099653
2015-07-27,200.05,3.1072205152239305
2015-07-28,198.24,3.084785894953656
2015-07-29,199.45,3.1137431707216576
2015-07-30,201.17,3.139929787408013
2015-07-31,201.6,3.146302721610261
2015-08-03,202.57,3.164306648088764
2015-08-04,202.63,3.1595270370370367
2015-08-05,203.22,3.1591216725499915
2015-08-06,205.21,3.205496594392788
2015-08-07,203.48,3.1550326093100245
2015-08-10,203.67,3.1563181281016277
2015-08-11,203.27,3.1640892344305422
2015-08-12,200.26,3.1166361830699385
2015-08-13,200.78,3.133334289304607
2015-08-14,200.38,3.1288764369679773
2015-08-17,200.61,3.139685851998866
2015-08-18,200.51,3.1250379860176647
2015-08-19,199.93,3.133096554518018
2015-08-20,198.3,3.111020664418455
2015-08-21,195.55,3.0673417169996386
2015-08-24,189.87,2.9765550727674692
